bandwidth;positions;euclidean_error;ftms;seed;x_calculated;y_calculated
20;6;0.87;6;46;0.39897;0.76886
20;7;0.79;6;46;0.33374;0.71585
20;8;0.62;6;46;0.23406;0.57839
20;9;0.62;6;46;0.24179;0.57127
20;10;0.54;6;46;0.21194;0.49572
20;3;0.64;6;47;0.06296;0.64168
20;4;0.4;6;47;-0.16038;0.36892
20;5;0.54;6;47;-0.1486;0.51991
20;6;0.52;6;47;-0.16246;0.49905
20;7;0.3;6;47;0.24061;0.17942
20;8;0.34;6;47;0.25298;0.22515
20;9;0.34;6;47;0.25568;0.22269
20;10;0.38;6;47;0.33401;0.18545
20;3;1.6;6;48;1.33495;0.87503
20;4;1.21;6;48;1.13941;0.41036
20;5;1.01;6;48;1.01024;0.07572
20;6;0.97;6;48;0.97247;0.05246
20;7;0.61;6;48;0.58477;0.18225
20;8;0.73;6;48;0.6826;-0.24903
20;9;0.74;6;48;0.68817;-0.27016
20;10;0.55;6;48;0.54493;-0.09851
20;3;1.4;6;49;-0.58203;-1.26885
20;4;0.51;6;49;-0.02739;-0.51414
20;5;0.31;6;49;-0.1686;-0.26226
20;6;0.31;6;49;-0.16763;-0.25767
20;7;0.33;6;49;-0.17792;-0.27847
20;8;0.38;6;49;-0.212;-0.31142
20;9;0.37;6;49;-0.20727;-0.30623
20;10;0.29;6;49;-0.14366;-0.24804
20;3;0.37;6;4;-0.36208;0.07133
20;4;0.53;6;4;-0.48925;-0.19302
20;5;0.66;6;4;-0.65978;-0.06674
20;6;0.82;6;4;-0.82005;0.03868
20;7;0.94;6;4;-0.9071;0.24583
20;8;0.9;6;4;-0.89388;0.10699
20;9;0.9;6;4;-0.89532;0.10911
20;10;0.74;6;4;-0.73327;0.10251
20;3;0.77;6;50;0.75784;-0.14078
20;4;0.79;6;50;0.69877;-0.36121
20;5;0.82;6;50;0.7765;-0.25786
20;6;0.53;6;50;0.42416;-0.32599
20;7;0.6;6;50;0.47455;-0.36681
20;8;0.48;6;50;0.36304;-0.31429
20;9;0.56;6;50;0.44015;-0.34197
20;10;0.45;6;50;0.27132;-0.3597
20;3;2.0;6;51;1.81094;0.85327
20;4;0.56;6;51;0.45465;-0.33459
20;5;0.48;6;51;0.44135;-0.19442
20;6;0.38;6;51;0.26441;-0.27851
20;7;0.15;6;51;0.15071;-0.01747
20;8;0.27;6;51;0.27271;-0.03211
20;9;0.39;6;51;0.34975;0.1672
20;10;0.45;6;51;0.36929;0.26131
20;3;1.48;6;52;-0.73292;1.28549
20;4;0.86;6;52;-0.43278;0.74065
20;5;0.69;6;52;-0.30804;0.62113
20;6;0.32;6;52;0.00146;0.31871
20;7;0.22;6;52;0.09285;0.20324
20;8;0.41;6;52;-0.03246;0.41338
20;9;0.32;6;52;-0.0276;0.31955
20;10;0.43;6;52;0.04215;0.42928
20;3;1.69;6;53;1.58823;-0.57268
20;4;0.4;6;53;0.34834;0.20107
20;5;0.52;6;53;0.41303;0.31741
20;6;0.58;6;53;0.57155;0.0738
20;7;0.31;6;53;0.29425;0.10606
20;8;0.28;6;53;0.19781;0.20422
20;9;0.4;6;53;0.16753;0.36727
20;10;0.4;6;53;0.08303;0.39212
20;3;6.43;6;54;-6.16511;-1.83924
20;4;6.49;6;54;-6.21852;-1.85386
20;5;0.68;6;54;-0.6451;0.20591
20;6;0.28;6;54;0.27965;0.02345
20;7;0.39;6;54;0.39092;0.01185
20;8;0.22;6;54;0.22126;0.00818
20;9;0.23;6;54;0.22867;0.00336
20;10;0.38;6;54;0.37263;0.06704
20;3;0.22;6;55;-0.20615;-0.06265
20;4;0.25;6;55;-0.24655;-0.00369
20;5;0.23;6;55;-0.17844;0.15124
20;6;0.29;6;55;-0.24747;0.15253
20;7;0.44;6;55;-0.38538;0.20336
20;8;0.47;6;55;-0.43454;0.16668
20;9;0.24;6;55;-0.2341;0.02384
20;10;0.27;6;55;-0.27359;0.0142
20;3;1.62;6;56;0.87113;1.36355
20;4;1.48;6;56;0.75043;1.27418
20;5;0.71;6;56;0.28979;0.64492
20;6;0.74;6;56;0.20617;0.71516
20;7;0.7;6;56;0.2084;0.66884
20;8;0.41;6;56;0.03624;0.40916
20;9;0.42;6;56;0.05416;0.41827
20;10;0.44;6;56;0.05487;0.43753
